Municipal,Fiscal_Year,Total_Budget,Residential,Open_Space,Commercial,Industrial,Personal_Property,Total_Levy,Inflation_Adjusted_Residential,Inflation_Adjusted_Open_Space,Inflation_Adjusted_Commercial,Inflation_Adjusted_Industrial,Inflation_Adjusted_Personal_Property,Inflation_Adjusted_Total_Levy,Percentage_of_Residential,Percentage_of_Open_Space,Percentage_of_Commercial,Percentage_of_Industrial,Percentage_of_Personal_Property,Total_Levy_Pct_Change,Total_Levy_Million,Residential_Million,Open_Space_Million,Commercial_Million,Industrial_Million,Personal_Property_Million
Monterey,2015,3825822,2860459,0,60114,2729,51024,2974326,3030505,0,63688,2891,54057,3151141,96.17,0,2.02,0.09,1.72,20,3.15,3.03,0,0.06,0,0.05
Monterey,2016,4030316,3033330,0,60556,3661,54162,3151709,3626976,0,72407,4377,64762,3768523,96.24,0,1.92,0.12,1.72,43.5,3.77,3.63,0,0.07,0,0.06
Monterey,2017,4323665,3541382,0,71861,4277,63472,3680992,3627879,0,73616,4381,65022,3770899,96.21,0,1.95,0.12,1.72,43.6,3.77,3.63,0,0.07,0,0.07
Monterey,2018,4790416,3614556,0,72756,4323,64904,3756539,3614556,0,72756,4323,64904,3756539,96.22,0,1.94,0.12,1.73,43,3.76,3.61,0,0.07,0,0.06
Montgomery,2003,1337435.77,825637,0,18306,5297,18251,867491,1126757,0,24982,7229,24907,1183875,95.18,0,2.11,0.61,2.1,0,1.18,1.13,0,0.02,0.01,0.02
Montgomery,2004,1388424.71,866390,0,20072,5221,17089,908772,1151702,0,26682,6940,22717,1208041,95.34,0,2.21,0.57,1.88,2,1.21,1.15,0,0.03,0.01,0.02
Montgomery,2005,1455192.16,931436,0,20651,5205,16925,974217,1197594,0,26552,6692,21761,1252600,95.61,0,2.12,0.53,1.74,5.8,1.25,1.2,0,0.03,0.01,0.02
Montgomery,2006,1454318.01,964197,0,22658,5659,14148,1006662,1200975,0,28222,7049,17622,1253868,95.78,0,2.25,0.56,1.41,5.9,1.25,1.2,0,0.03,0.01,0.02
Montgomery,2007,1771084.61,1076309,0,20779,5108,14853,1117049,1303492,0,25165,6186,17988,1352832,96.35,0,1.86,0.46,1.33,14.3,1.35,1.3,0,0.03,0.01,0.02
Montgomery,2008,1705830.4,1170149,0,22633,5499,16395,1214676,1364740,0,26397,6413,19121,1416672,96.33,0,1.86,0.45,1.35,19.7,1.42,1.36,0,0.03,0.01,0.02
Montgomery,2009,1848776.15,1213628,0,24449,6011,22505,1266593,1420503,0,28617,7036,26341,1482497,95.82,0,1.93,0.47,1.78,25.2,1.48,1.42,0,0.03,0.01,0.03
Montgomery,2010,1784487.97,1228679,0,23921,8013,22696,1283309,1414911,0,27547,9228,26136,1477822,95.74,0,1.86,0.62,1.77,24.8,1.48,1.41,0,0.03,0.01,0.03
Montgomery,2011,1845473.77,1312352,0,21161,7051,25204,1365768,1465023,0,23623,7871,28136,1524653,96.09,0,1.55,0.52,1.85,28.8,1.52,1.47,0,0.02,0.01,0.03
Montgomery,2012,1944576.58,1357288,0,20943,7129,30771,1416131,1484466,0,22905,7797,33654,1548823,95.84,0,1.48,0.5,2.17,30.8,1.55,1.48,0,0.02,0.01,0.03
Montgomery,2013,2037646.77,1390974,0,21960,8793,31684,1453411,1499347,0,23671,9478,34153,1566648,95.7,0,1.51,0.6,2.18,32.3,1.57,1.5,0,0.02,0.01,0.03
Montgomery,2014,1921475,1430677,0,18553,8912,33071,1491213,1517526,0,19679,9453,35079,1581737,95.94,0,1.24,0.6,2.22,33.6,1.58,1.52,0,0.02,0.01,0.04
Montgomery,2015,2053085,1462714,0,18521,9026,35645,1525906,1549668,0,19622,9563,37764,1616617,95.86,0,1.21,0.59,2.34,36.6,1.62,1.55,0,0.02,0.01,0.04
Montgomery,2016,2052817,1440526,0,18091,8950,35154,1502721,1722448,0,21632,10702,42034,1796815,95.86,0,1.2,0.6,2.34,51.8,1.8,1.72,0,0.02,0.01,0.04
Montgomery,2017,2137866,1393773,0,20594,8697,33258,1456322,1427816,0,21097,8909,34070,1491892,95.71,0,1.41,0.6,2.28,26,1.49,1.43,0,0.02,0.01,0.03
Montgomery,2018,1998622,1382541,0,20051,8241,33191,1444024,1382541,0,20051,8241,33191,1444024,95.74,0,1.39,0.57,2.3,22,1.44,1.38,0,0.02,0.01,0.03
Mount Washington,2003,455374.11,240665,0,533,3533,5654,250385,328438,0,727,4822,7716,341703,96.12,0,0.21,1.41,2.26,0,0.34,0.33,0,0,0,0.01
Mount Washington,2004,566248.76,298351,0,460,3871,6436,309118,396602,0,611,5146,8555,410914,96.52,0,0.15,1.25,2.08,20.3,0.41,0.4,0,0,0.01,0.01
Mount Washington,2005,472097.06,290530,0,436,3665,5790,300421,373549,0,561,4712,7444,386266,96.71,0,0.15,1.22,1.93,13,0.39,0.37,0,0,0,0.01
Mount Washington,2006,569566.13,332902,0,492,4226,6403,344023,414653,0,613,5264,7975,428505,96.77,0,0.14,1.23,1.86,25.4,0.43,0.41,0,0,0.01,0.01
Mount Washington,2007,668879.97,373372,0,602,4826,6102,384902,452182,0,729,5845,7390,466146,97,0,0.16,1.25,1.59,36.4,0.47,0.45,0,0,0.01,0.01
Mount Washington,2008,762690.52,408211,0,94,5193,6624,420122,476095,0,110,6057,7726,489987,97.16,0,0.02,1.24,1.58,43.4,0.49,0.48,0,0,0.01,0.01
Mount Washington,2009,959079.28,423417,0,97,4676,8491,436681,495593,0,114,5473,9938,511118,96.96,0,0.02,1.07,1.94,49.6,0.51,0.5,0,0,0.01,0.01
Mount Washington,2010,975354.01,434736,0,236,4087,9027,448086,500629,0,272,4706,10395,516003,97.02,0,0.05,0.91,2.01,51,0.52,0.5,0,0,0,0.01
Mount Washington,2011,829522.64,435121,0,160,3523,8811,447615,485740,0,179,3933,9836,499688,97.21,0,0.04,0.79,1.97,46.2,0.5,0.49,0,0,0,0.01
Mount Washington,2012,1191620.38,459404,0,144,3814,9895,473257,502450,0,157,4171,10822,517601,97.07,0,0.03,0.81,2.09,51.5,0.52,0.5,0,0,0,0.01
Mount Washington,2013,1150776.1,478367,0,136,3943,10036,492482,515637,0,147,4250,10818,530852,97.13,0,0.03,0.8,2.04,55.4,0.53,0.52,0,0,0,0.01
Mount Washington,2014,1035490,460434,0,1529,2352,10102,474417,488385,0,1622,2495,10715,503216,97.05,0,0.32,0.5,2.13,47.3,0.5,0.49,0,0,0,0.01
Mount Washington,2015,1380067,468725,0,1557,2381,10309,482972,496589,0,1650,2523,10922,511683,97.05,0,0.32,0.49,2.13,49.7,0.51,0.5,0,0,0,0.01
Mount Washington,2016,1022192,487914,0,1634,2697,10475,502720,583403,0,1954,3225,12525,601106,97.05,0,0.33,0.54,2.08,75.9,0.6,0.58,0,0,0,0.01
Mount Washington,2017,1631667,516291,0,1685,2782,11088,531846,528901,0,1726,2850,11359,544836,97.08,0,0.32,0.52,2.08,59.4,0.54,0.53,0,0,0,0.01
Mount Washington,2018,998941,522528,0,1655,2729,10771,537683,522528,0,1655,2729,10771,537683,97.18,0,0.31,0.51,2,57.4,0.54,0.52,0,0,0,0.01
Nahant,2003,9045189.16,5041058,0,106506,2403,39213,5189180,6879592,0,145350,3279,53514,7081736,97.15,0,2.05,0.05,0.76,0,7.08,6.88,0,0.15,0,0.05
Nahant,2004,9056374.45,5209430,0,103718,2592,35265,5351005,6924957,0,137874,3446,46878,7113154,97.35,0,1.94,0.05,0.66,0.4,7.11,6.92,0,0.14,0,0.05
Nahant,2005,9628297.38,5380355,0,105054,2690,94344,5582443,6917792,0,135073,3459,121303,7177627,96.38,0,1.88,0.05,1.69,1.4,7.18,6.92,0,0.14,0,0.12
Nahant,2006,10121007.88,5559839,0,105480,2790,88893,5757002,6925171,0,131383,3475,110722,7170751,96.58,0,1.83,0.05,1.54,1.3,7.17,6.93,0,0.13,0,0.11
Nahant,2007,10836392.35,5809514,0,106901,2955,94369,6013739,7035765,0,129465,3579,114288,7283097,96.6,0,1.78,0.05,1.57,2.8,7.28,7.04,0,0.13,0,0.11
Nahant,2008,12002599.41,6973534,0,133747,2975,104912,7215168,8133204,0,155989,3470,122358,8415021,96.65,0,1.85,0.04,1.45,18.8,8.42,8.13,0,0.16,0,0.12
Nahant,2009,12186156.46,6937860,0,130741,2899,140881,7212381,8120488,0,153027,3393,164896,8441804,96.19,0,1.81,0.04,1.95,19.2,8.44,8.12,0,0.15,0,0.16
Nahant,2010,11742660,7037732,0,137064,2584,156271,7333651,8104449,0,157839,2976,179957,8445221,95.96,0,1.87,0.04,2.13,19.3,8.45,8.1,0,0.16,0,0.18
Nahant,2011,11899128.46,7197259,0,129246,2608,179649,7508762,8034543,0,144282,2911,200548,8382285,95.85,0,1.72,0.03,2.39,18.4,8.38,8.03,0,0.14,0,0.2
Nahant,2012,12117778.44,7392568,0,133739,2751,185234,7714292,8085253,0,146270,3009,202590,8437123,95.83,0,1.73,0.04,2.4,19.1,8.44,8.09,0,0.15,0,0.2
Nahant,2013,12557154.75,7551064,0,137771,2801,202833,7894469,8139378,0,148505,3019,218636,8509538,95.65,0,1.75,0.04,2.57,20.2,8.51,8.14,0,0.15,0,0.22
Nahant,2014,13213462,7748331,0,141547,2877,209058,8101813,8218692,0,150140,3052,221749,8593632,95.64,0,1.75,0.04,2.58,21.3,8.59,8.22,0,0.15,0,0.22
Nahant,2015,13858145,7921140,0,146923,3112,214001,8285176,8392030,0,155657,3297,226723,8777707,95.61,0,1.77,0.04,2.58,23.9,8.78,8.39,0,0.16,0,0.23
Nahant,2016,14144563,8151101,0,146852,3312,213882,8515147,9746335,0,175592,3960,255740,10181627,95.72,0,1.72,0.04,2.51,43.8,10.18,9.75,0,0.18,0,0.26
Nahant,2017,14590995,8342034,0,149436,3729,234226,8729425,8545786,0,153086,3820,239947,8942639,95.56,0,1.71,0.04,2.68,26.3,8.94,8.55,0,0.15,0,0.24
Nahant,2018,15037544,8503197,0,152082,3647,258006,8916932,8503197,0,152082,3647,258006,8916932,95.36,0,1.71,0.04,2.89,25.9,8.92,8.5,0,0.15,0,0.26
Nantucket,2003,65937983.51,32936553,38963,3831566,151236,763939,37722257,44948908,53173,5228984,206394,1042557,51480015,87.31,0.1,10.16,0.4,2.03,0,51.48,44.95,0.05,5.23,0.21,1.04
Nantucket,2004,72175812.78,35111054,30292,4349486,223156,631026,40345014,46673539,40268,5781823,296644,838830,53631103,87.03,0.08,10.78,0.55,1.56,4.2,53.63,46.67,0.04,5.78,0.3,0.84
Nantucket,2005,80145220.29,37721706,31907,4442769,222109,898971,43317462,48500688,41024,5712291,285577,1155852,55695432,87.08,0.07,10.26,0.51,2.08,8.2,55.7,48.5,0.04,5.71,0.29,1.16
Nantucket,2006,89059885.84,41633341,73445,4673890,242909,997297,47620882,51857259,91481,5821659,302560,1242204,59315163,87.43,0.15,9.81,0.51,2.09,15.2,59.32,51.86,0.09,5.82,0.3,1.24
Nantucket,2007,99500180.07,45061618,67275,5693987,292435,803956,51919271,54573061,81475,6895853,354161,973652,62878203,86.79,0.13,10.97,0.56,1.55,22.1,62.88,54.57,0.08,6.9,0.35,0.97
Nantucket,2008,103113729.4,48898998,72060,5954890,342639,951420,56220007,57030699,84043,6945164,399618,1109637,65569162,86.98,0.13,10.59,0.61,1.69,27.4,65.57,57.03,0.08,6.95,0.4,1.11
Nantucket,2009,108918865.4,51085440,74593,5964360,364053,1021696,58510142,59793470,87308,6981045,426110,1195854,68483787,87.31,0.13,10.19,0.62,1.75,33,68.48,59.79,0.09,6.98,0.43,1.2
Nantucket,2010,111657023.6,53597537,44065,6269759,327458,1094777,61333596,61721378,50744,7220074,377091,1260714,70630000,87.39,0.07,10.22,0.53,1.78,37.2,70.63,61.72,0.05,7.22,0.38,1.26
Nantucket,2011,104528150.6,54127313,41562,7167045,359950,1344280,63040150,60424147,46397,8000814,401824,1500665,70373848,85.86,0.07,11.37,0.57,2.13,36.7,70.37,60.42,0.05,8,0.4,1.5
Nantucket,2012,108229933.5,53660910,76032,6835572,346955,1355275,62274744,58688947,83156,7476066,379465,1482265,68109899,86.17,0.12,10.98,0.56,2.18,32.3,68.11,58.69,0.08,7.48,0.38,1.48
Nantucket,2013,112148715.5,55805960,78723,6069084,327931,1336576,63618274,60153879,84856,6541935,353481,1440710,68574861,87.72,0.12,9.54,0.52,2.1,33.2,68.57,60.15,0.08,6.54,0.35,1.44
Nantucket,2014,119187734,56629540,41259,6272932,324454,1378854,64647039,60067222,43764,6653729,344150,1462557,68571421,87.6,0.06,9.7,0.5,2.13,33.2,68.57,60.07,0.04,6.65,0.34,1.46
Nantucket,2015,117794988,58487997,40242,6022746,316558,1462409,66329952,61964945,42634,6380781,335376,1549345,70273083,88.18,0.06,9.08,0.48,2.2,36.5,70.27,61.96,0.04,6.38,0.34,1.55
Nantucket,2016,128975551,61994362,36918,5922606,302616,1379872,69636374,74127140,44143,7081706,361840,1649924,83264753,89.03,0.05,8.51,0.43,1.98,61.7,83.26,74.13,0.04,7.08,0.36,1.65
Nantucket,2017,134693722,66602865,6034,6184283,308078,1452421,74553681,68229625,6181,6335333,315603,1487896,76374638,89.34,0.01,8.3,0.41,1.95,48.4,76.37,68.23,0.01,6.34,0.32,1.49
Nantucket,2018,141476179,69719696,6405,6559620,326543,1556216,78168480,69719696,6405,6559620,326543,1556216,78168480,89.19,0.01,8.39,0.42,1.99,51.8,78.17,69.72,0.01,6.56,0.33,1.56
Natick,2003,89671308.95,40877621,0,11682409,735555,843249,54138834,55786178,0,15943123,1003821,1150792,73883914,75.51,0,21.58,1.36,1.56,0,73.88,55.79,0,15.94,1,1.15
Natick,2004,92586900.53,43554556,0,10742523,769825,856926,55923830,57897585,0,14280163,1023337,1139122,74340207,77.88,0,19.21,1.38,1.53,0.6,74.34,57.9,0,14.28,1.02,1.14
Natick,2005,96456188.63,45662661,0,11765021,622290,800734,58850706,58710772,0,15126877,800109,1029544,75667303,77.59,0,19.99,1.06,1.36,2.4,75.67,58.71,0,15.13,0.8,1.03
Natick,2006,100785887.7,48312860,0,11449836,601908,804658,61169262,60177070,0,14261577,749719,1002258,76190624,78.98,0,18.72,0.98,1.32,3.1,76.19,60.18,0,14.26,0.75,1
Natick,2007,109651561.5,50120567,0,11333194,603579,782174,62839514,60699835,0,13725364,730980,947272,76103452,79.76,0,18.04,0.96,1.24,3,76.1,60.7,0,13.73,0.73,0.95
Natick,2008,111634235.5,51612195,0,12002486,619826,952153,65186660,60195090,0,13998450,722901,1110492,76026932,79.18,0,18.41,0.95,1.46,2.9,76.03,60.2,0,14,0.72,1.11
Natick,2009,114250149.4,56446713,0,14612120,700975,1268159,73027967,66068626,0,17102904,820463,1484330,85476322,77.29,0,20.01,0.96,1.74,15.7,85.48,66.07,0,17.1,0.82,1.48
Natick,2010,115702630.2,58645346,0,16238181,757916,1329630,76971073,67534289,0,18699421,872794,1531164,88637668,76.19,0,21.1,0.98,1.73,20,88.64,67.53,0,18.7,0.87,1.53
Natick,2011,119367560.3,60902611,0,16590019,739657,1412910,79645197,67987641,0,18519998,825704,1577279,88910622,76.47,0,20.83,0.93,1.77,20.3,88.91,67.99,0,18.52,0.83,1.58
Natick,2012,131040458,66253864,0,17848195,786706,1566553,86455318,72461863,0,19520574,860420,1713339,94556197,76.63,0,20.64,0.91,1.81,28,94.56,72.46,0,19.52,0.86,1.71
Natick,2013,134164537,68531970,0,18516957,576654,1697864,89323445,73871390,0,19959639,621582,1830147,96282757,76.72,0,20.73,0.65,1.9,30.3,96.28,73.87,0,19.96,0.62,1.83
Natick,2014,142003757,71920375,0,19283131,517359,1715801,93436666,76286283,0,20453709,548765,1819958,99108716,76.97,0,20.64,0.55,1.84,34.1,99.11,76.29,0,20.45,0.55,1.82
Natick,2015,147026413,74700994,0,19607559,529412,1692646,96530611,79141760,0,20773174,560884,1793269,102269087,77.39,0,20.31,0.55,1.75,38.4,102.27,79.14,0,20.77,0.56,1.79
Natick,2016,156920820,77487886,0,19949762,542378,1837017,99817043,92652867,0,23854085,648526,2196535,119352013,77.63,0,19.99,0.54,1.84,61.5,119.35,92.65,0,23.85,0.65,2.2
Natick,2017,163926046,80964658,0,20369008,564026,2024595,103922287,82942201,0,20866516,577802,2074045,106460565,77.91,0,19.6,0.54,1.95,44.1,106.46,82.94,0,20.87,0.58,2.07
Natick,2018,174547762,84843171,0,19963932,573350,2008026,107388479,84843171,0,19963932,573350,2008026,107388479,79.01,0,18.59,0.53,1.87,45.3,107.39,84.84,0,19.96,0.57,2.01
Needham,2003,89285786.38,43678907,0,9153215,2490062,1363081,56685265,59609127,0,12491502,3398217,1860213,77359059,77.06,0,16.15,4.39,2.4,0,77.36,59.61,0,12.49,3.4,1.86
Needham,2004,93174836.32,47831181,0,9345317,2751624,1528463,61456585,63582554,0,12422840,3657766,2031804,81694964,77.83,0,15.21,4.48,2.49,5.6,81.69,63.58,0,12.42,3.66,2.03
Needham,2005,96649089.65,50398379,0,9494675,2793982,1754424,64441460,64799722,0,12207780,3592363,2255751,82855615,78.21,0,14.73,4.34,2.72,7.1,82.86,64.8,0,12.21,3.59,2.26
Needham,2006,104294154,54568162,0,10018642,2641893,1753223,68981920,67968489,0,12478924,3290664,2183763,85921840,79.11,0,14.52,3.83,2.54,11.1,85.92,67.97,0,12.48,3.29,2.18
Needham,2007,125517445.2,58789954,0,10674387,2520319,1943045,73927705,71199125,0,12927498,3052299,2353176,89532098,79.52,0,14.44,3.41,2.63,15.7,89.53,71.2,0,12.93,3.05,2.35
Needham,2008,117827098.2,61486288,0,11453493,2627651,2383913,77951345,71711204,0,13358162,3064619,2780348,90914332,78.88,0,14.69,3.37,3.06,17.5,90.91,71.71,0,13.36,3.06,2.78
Needham,2009,125744963.8,63779919,0,12914270,2597144,2634318,81925651,74651851,0,15115638,3039853,3083364,95890706,77.85,0,15.76,3.17,3.22,24,95.89,74.65,0,15.12,3.04,3.08
Needham,2010,134191732.6,68322324,0,13723527,2694575,3091700,87832126,78678018,0,15803618,3102995,3560313,101144943,77.79,0,15.62,3.07,3.52,30.7,101.14,78.68,0,15.8,3.1,3.56
Needham,2011,133119697.9,71793779,0,14946375,2744847,3586745,93071746,80145819,0,16685143,3064165,4004005,103899132,77.14,0,16.06,2.95,3.85,34.3,103.9,80.15,0,16.69,3.06,4
Needham,2012,136706999.6,74902426,0,15283199,2606690,3454136,96246451,81920797,0,16715238,2850937,3777789,105264761,77.82,0,15.88,2.71,3.59,36.1,105.26,81.92,0,16.72,2.85,3.78
Needham,2013,144990958,78219084,0,15594044,2686193,3942950,100442271,84313240,0,16808997,2895478,4250151,108267866,77.87,0,15.53,2.67,3.93,40,108.27,84.31,0,16.81,2.9,4.25
Needham,2014,155137599,81523133,0,17047458,3252513,4185010,106008114,86471975,0,18082320,3449956,4439060,112443310,76.9,0,16.08,3.07,3.95,45.4,112.44,86.47,0,18.08,3.45,4.44
Needham,2015,156155833,86092739,0,19769626,3359841,4081554,113303760,91210712,0,20944875,3559574,4324191,120039353,75.98,0,17.45,2.97,3.6,55.2,120.04,91.21,0,20.94,3.56,4.32
Needham,2016,168726605,89925393,0,20295616,3490525,5580330,119291864,107524490,0,24267626,4173648,6672444,142638208,75.38,0,17.01,2.93,4.68,84.4,142.64,107.52,0,24.27,4.17,6.67
Needham,2017,173154753,94772416,0,20782023,3682606,5552745,124789790,97087211,0,21289619,3772553,5688370,127837752,75.95,0,16.65,2.95,4.45,65.3,127.84,97.09,0,21.29,3.77,5.69
Needham,2018,195147547,101954195,0,22212126,3020505,5351062,132537888,101954195,0,22212126,3020505,5351062,132537888,76.92,0,16.76,2.28,4.04,71.3,132.54,101.95,0,22.21,3.02,5.35
New Ashford,2003,399623.48,118856,3544,61380,0,21416,205196,162204,4837,83766,0,29227,280033,57.92,1.73,29.91,0,10.44,0,0.28,0.16,0,0.08,0,0.03
New Ashford,2004,464023.29,142978,4226,73873,0,32917,253994,190062,5618,98200,0,43757,337637,56.29,1.66,29.08,0,12.96,20.6,0.34,0.19,0.01,0.1,0,0.04
New Ashford,2005,476588.56,157937,3640,72716,0,28704,262997,203068,4680,93495,0,36906,338148,60.05,1.38,27.65,0,10.91,20.8,0.34,0.2,0,0.09,0,0.04
New Ashford,2006,521367.63,173488,2187,78089,0,17612,271376,216092,2724,97265,0,21937,338018,63.93,0.81,28.78,0,6.49,20.7,0.34,0.22,0,0.1,0,0.02
New Ashford,2007,532458.35,175044,2131,74424,2834,19060,273493,211992,2581,90133,3432,23083,331221,64,0.78,27.21,1.04,6.97,18.3,0.33,0.21,0,0.09,0,0.02
New Ashford,2008,535346.17,173265,2082,67732,2754,18729,264562,202078,2428,78996,3212,21844,308558,65.49,0.79,25.6,1.04,7.08,10.2,0.31,0.2,0,0.08,0,0.02
New Ashford,2009,690152.45,221245,4257,86753,2998,21024,336277,258958,4983,101541,3509,24608,393599,65.79,1.27,25.8,0.89,6.25,40.6,0.39,0.26,0,0.1,0,0.02
New Ashford,2010,606952.02,232759,4168,96702,3373,23867,360869,268039,4800,111359,3884,27485,415566,64.5,1.15,26.8,0.93,6.61,48.4,0.42,0.27,0,0.11,0,0.03
New Ashford,2011,681099.27,248377,4386,88578,3098,21554,365993,277272,4896,98883,3458,24061,408570,67.86,1.2,24.2,0.85,5.89,45.9,0.41,0.28,0,0.1,0,0.02
New Ashford,2012,698762.81,281379,4955,65406,3665,24166,379571,307744,5419,71535,4008,26430,415137,74.13,1.31,17.23,0.97,6.37,48.2,0.42,0.31,0.01,0.07,0,0.03
New Ashford,2013,719535.81,291279,5134,68275,3797,24634,393119,313973,5534,73594,4093,26553,423747,74.09,1.31,17.37,0.97,6.27,51.3,0.42,0.31,0.01,0.07,0,0.03
New Ashford,2014,690003,260715,4596,69458,4318,24652,363739,276542,4875,73674,4580,26148,385820,71.68,1.26,19.1,1.19,6.78,37.8,0.39,0.28,0,0.07,0,0.03
New Ashford,2015,673956,257090,4428,58900,3666,22477,346561,272373,4691,62401,3884,23813,367163,74.18,1.28,17,1.06,6.49,31.1,0.37,0.27,0,0.06,0,0.02
New Ashford,2016,673983,257634,4406,58777,3666,21504,345987,308055,5268,70280,4383,25712,413699,74.46,1.27,16.99,1.06,6.22,47.7,0.41,0.31,0.01,0.07,0,0.03
New Ashford,2017,711977,271927,4663,71671,3849,15012,367122,278569,4777,73422,3943,15379,376089,74.07,1.27,19.52,1.05,4.09,34.3,0.38,0.28,0,0.07,0,0.02
New Ashford,2018,852310,347357,6547,50989,3082,12047,420022,347357,6547,50989,3082,12047,420022,82.7,1.56,12.14,0.73,2.87,50,0.42,0.35,0.01,0.05,0,0.01
New Bedford,2003,245359533,42750143,0,11629090,6134303,3714153,64227689,58341631,0,15870358,8371557,5068749,87652295,66.56,0,18.11,9.55,5.78,0,87.65,58.34,0,15.87,8.37,5.07
New Bedford,2004,239478519.2,46085275,0,12678670,6211794,3636007,68611746,61261700,0,16853906,8257411,4833387,91206404,67.17,0,18.48,9.05,5.3,4.1,91.21,61.26,0,16.85,8.26,4.83
New Bedford,2005,252606639.5,49065023,0,13887687,6555113,3430150,72937973,63085360,0,17856095,8428237,4410316,93780008,67.27,0,19.04,8.99,4.7,7,93.78,63.09,0,17.86,8.43,4.41
New Bedford,2006,261645724.9,52925445,0,14564519,6516963,3157525,77164452,65922370,0,18141134,8117336,3932920,96113760,68.59,0,18.87,8.45,4.09,9.7,96.11,65.92,0,18.14,8.12,3.93
New Bedford,2007,275719162.2,57970084,0,13998703,6543698,3033140,81545625,70206200,0,16953499,7924918,3673364,98757981,71.09,0,17.17,8.02,3.72,12.7,98.76,70.21,0,16.95,7.92,3.67
New Bedford,2008,294021554.8,59683448,0,13543966,6232742,3217719,82677875,69608559,0,15796272,7269221,3752812,96426864,72.19,0,16.38,7.54,3.89,10,96.43,69.61,0,15.8,7.27,3.75
New Bedford,2009,298618880.3,62948451,0,15021400,6882397,3945061,88797309,73678651,0,17581949,8055571,4617537,103933708,70.89,0,16.92,7.75,4.44,18.6,103.93,73.68,0,17.58,8.06,4.62
New Bedford,2010,292017375.6,64766528,0,16056629,6972203,4353368,92148728,74583266,0,18490351,8028988,5013213,106115817,70.28,0,17.42,7.57,4.72,21.1,106.12,74.58,0,18.49,8.03,5.01
New Bedford,2011,281808527.1,63123965,0,17369164,7525097,5141972,93160198,70467413,0,19389784,8400520,5740157,103997874,67.76,0,18.64,8.08,5.52,18.6,104,70.47,0,19.39,8.4,5.74
New Bedford,2012,296641776.8,62818432,0,18302897,7844582,5427581,94393492,68704531,0,20017882,8579621,5936146,103238180,66.55,0,19.39,8.31,5.75,17.8,103.24,68.7,0,20.02,8.58,5.94
New Bedford,2013,296561069.3,62791954,0,18777451,8216217,5432881,95218503,67684161,0,20240428,8856354,5856164,102637107,65.95,0,19.72,8.63,5.71,17.1,102.64,67.68,0,20.24,8.86,5.86
New Bedford,2014,310487748,62614640,0,19269532,8679012,6120743,96683927,66415646,0,20439284,9205869,6492301,102553101,64.76,0,19.93,8.98,6.33,17,102.55,66.42,0,20.44,9.21,6.49
New Bedford,2015,320783883,65429691,0,20709844,9144543,6312032,101596110,69319304,0,21940987,9688161,6687265,107635716,64.4,0,20.38,9,6.21,22.8,107.64,69.32,0,21.94,9.69,6.69
New Bedford,2016,331979333,69842107,0,22678637,9790229,6928645,109239618,83510749,0,27117022,11706253,8284635,130618659,63.93,0,20.76,8.96,6.34,49,130.62,83.51,0,27.12,11.71,8.28
New Bedford,2017,345047400,73823851,0,22789143,10021460,7422564,114057018,75626982,0,23345763,10266232,7603858,116842835,64.73,0,19.98,8.79,6.51,33.3,116.84,75.63,0,23.35,10.27,7.6
New Bedford,2018,364227682,78670004,0,22803957,10291267,8189916,119955144,78670004,0,22803957,10291267,8189916,119955144,65.58,0,19.01,8.58,6.83,36.9,119.96,78.67,0,22.8,10.29,8.19
New Braintree,2003,1447685.89,938973,0,50802,3744,28785,1022304,1281428,0,69330,5109,39283,1395150,91.85,0,4.97,0.37,2.82,0,1.4,1.28,0,0.07,0.01,0.04
New Braintree,2004,1405555.49,983635,0,47074,1803,27356,1059868,1307558,0,62576,2397,36365,1408895,92.81,0,4.44,0.17,2.58,1,1.41,1.31,0,0.06,0,0.04
New Braintree,2005,1600851.28,1107796,0,47996,2842,23570,1182204,1424349,0,61711,3654,30305,1520019,93.71,0,4.06,0.24,1.99,9,1.52,1.42,0,0.06,0,0.03
New Braintree,2006,1762438.46,1182277,0,49710,2943,22775,1257705,1472609,0,61917,3666,28368,1566560,94,0,3.95,0.23,1.81,12.3,1.57,1.47,0,0.06,0,0.03
New Braintree,2007,1821865.4,1278337,0,49297,755,22311,1350700,1548164,0,59702,914,27020,1635801,94.64,0,3.65,0.06,1.65,17.2,1.64,1.55,0,0.06,0,0.03
New Braintree,2008,1971410.7,1369192,0,50249,792,25500,1445733,1596883,0,58605,924,29741,1686152,94.71,0,3.48,0.05,1.76,20.9,1.69,1.6,0,0.06,0,0.03
New Braintree,2009,2022955.51,1459757,0,56090,834,33601,1550282,1708587,0,65651,976,39329,1814543,94.16,0,3.62,0.05,2.17,30.1,1.81,1.71,0,0.07,0,0.04
New Braintree,2010,1977052.4,1497992,0,59393,603,34588,1592576,1725044,0,68395,694,39831,1833965,94.06,0,3.73,0.04,2.17,31.5,1.83,1.73,0,0.07,0,0.04
New Braintree,2011,2084981.63,1546339,0,69770,0,37437,1653546,1726230,0,77887,0,41792,1845909,93.52,0,4.22,0,2.26,32.3,1.85,1.73,0,0.08,0,0.04
New Braintree,2012,2104726.39,1566997,0,62389,60,40809,1670255,1713825,0,68235,66,44633,1826758,93.82,0,3.74,0,2.44,30.9,1.83,1.71,0,0.07,0,0.04
